Transaccion Num,Fecha y Hora,Cod Prod,Tipo Venta,Cantidad,Ciudad,Categoría,Subcategoría
625135,2024-01-06 22:49:58.670,SVSC-14017,Online,1,OSA,SVS,SVSC
625136,2024-01-07 05:17:53.940,AUDF-96046,Online,1,TOK,AUD,AUDF
625137,2024-01-07 09:59:42.021,SVSB-78752,Online,1,TOK,SVS,SVSB
625138,2024-01-07 18:15:59.299,PMUF-91948,Online,2,TOK,PMU,PMUF
625139,2024-01-08 04:24:49.808,TREA-92263,Online,1,TOK,TRE,TREA
625140,2024-01-08 12:12:34.427,JUGC-88258,Tienda,1,NAO,JUG,JUGC
625141,2024-01-08 22:13:56.244,TVSK-29455,Online,2,YOK,TVS,TVSK
625142,2024-01-09 07:09:44.009,DEPC-21455,Tienda,1,SAI,DEP,DEPC
625143,2024-01-09 13:33:37.421,SALB-86207,Online,1,NAO,SAL,SALB
625144,2024-01-09 22:42:45.343,PCTB-85135,Tienda,2,TOK,PCT,PCTB
625145,2024-01-10 08:02:06.662,AUDA-42282,Online,1,TOK,AUD,AUDA
625146,2024-01-10 19:48:58.436,TVSB-19363,Online,1,TOK,TVS,TVSB
625147,2024-01-10 21:32:33.763,PMUA-42938,Online,1,YOK,PMU,PMUA
625148,2024-01-11 01:11:40.404,AUDF-40095,Online,1,TOK,AUD,AUDF
625149,2024-01-11 06:45:02.262,TVSF-51846,Online,1,OSA,TVS,TVSF
625150,2024-01-11 12:22:16.434,ELEG-97121,Online,1,TOK,ELE,ELEG
625151,2024-01-11 12:50:12.464,AUDA-95895,Online,1,NAO,AUD,AUDA
625152,2024-01-11 22:17:06.911,AUDA-46953,Online,1,KYO,AUD,AUDA
625153,2024-01-12 00:02:33.752,PMUF-69780,Online,1,TOK,PMU,PMUF
625154,2024-01-12 04:00:45.832,PCTA-58873,Online,1,TOK,PCT,PCTA
625155,2024-01-12 06:09:02.509,ELEH-14712,Online,1,NAO,ELE,ELEH
625156,2024-01-12 09:09:19.968,PMUD-13214,Tienda,1,TOK,PMU,PMUD
625157,2024-01-12 18:34:17.226,HOGB-42827,Online,1,TOK,HOG,HOGB
625158,2024-01-13 04:48:05.846,PCTA-15104,Online,1,OSA,PCT,PCTA
625159,2024-01-13 14:33:26.104,TVSF-59761,Online,1,KYO,TVS,TVSF
625160,2024-01-14 00:46:53.515,DEPC-99296,Online,1,TOK,DEP,DEPC
625161,2024-01-14 10:42:32.188,EAGC-95207,Online,1,NAO,EAG,EAGC
625162,2024-01-14 19:37:48.820,EAGA-87908,Online,1,TOK,EAG,EAGA
625163,2024-01-15 01:30:26.518,SALA-92498,Online,1,YOK,SAL,SALA
625164,2024-01-15 07:00:41.545,TREA-95262,Online,1,TOK,TRE,TREA
625165,2024-01-15 09:08:37.892,PMUF-11542,Online,3,KYO,PMU,PMUF
625166,2024-01-15 13:56:01.226,SVSB-53445,Online,2,TOK,SVS,SVSB
625167,2024-01-15 21:01:47.328,ELEA-50206,Online,1,KYO,ELE,ELEA
625168,2024-01-16 08:00:15.619,TVSB-75678,Online,1,TOK,TVS,TVSB
625169,2024-01-16 17:37:39.812,HINC-81170,Tienda,1,YOK,HIN,HINC
625170,2024-01-16 21:58:32.759,PMUB-71172,Online,1,NAO,PMU,PMUB
625171,2024-01-17 04:22:35.279,EAGC-20117,Online,1,OSA,EAG,EAGC
625172,2024-01-17 04:30:13.032,SALB-55826,Online,1,TOK,SAL,SALB
625173,2024-01-17 12:01:59.091,CAMG-77378,Online,2,YOK,CAM,CAMG
625174,2024-01-17 18:14:23.818,HOGB-13551,Online,1,NAO,HOG,HOGB
625175,2024-01-17 21:27:36.587,JUGB-10505,Online,1,TOK,JUG,JUGB
625176,2024-01-17 22:05:43.302,TVSE-57605,Online,1,TOK,TVS,TVSE
625177,2024-01-18 06:26:15.006,SALC-74981,Online,1,YOK,SAL,SALC
625178,2024-01-18 14:58:18.030,SVSA-57564,Online,2,TOK,SVS,SVSA
625179,2024-01-18 18:16:42.441,HOGC-91549,Tienda,3,KOB,HOG,HOGC
625180,2024-01-18 23:45:38.603,SVSC-49713,Online,3,TOK,SVS,SVSC
625181,2024-01-19 08:34:44.392,CAME-33056,Online,1,TOK,CAM,CAME
625182,2024-01-19 10:08:07.392,CAMB-91772,Online,3,TOK,CAM,CAMB
625183,2024-01-19 20:16:20.791,CAMB-96393,Online,1,YOK,CAM,CAMB
625184,2024-01-20 06:48:29.421,JUGA-70344,Online,1,TOK,JUG,JUGA
625185,2024-01-20 17:12:37.281,TVSF-89636,Online,1,OKA,TVS,TVSF
625186,2024-01-20 21:34:22.576,AUDD-51870,Online,3,OSA,AUD,AUDD
625187,2024-01-21 03:13:38.913,SVSB-20819,Tienda,1,NAA,SVS,SVSB
625188,2024-01-21 12:47:06.481,VALA-66912,Online,1,TOK,VAL,VALA
625189,2024-01-21 23:33:41.157,HIND-67560,Online,1,TOK,HIN,HIND
625190,2024-01-22 00:20:02.063,VJGC-22284,Online,1,TOK,VJG,VJGC
625191,2024-01-22 07:01:18.800,CAMC-67490,Online,2,FUK,CAM,CAMC
625192,2024-01-22 09:37:55.545,CAMG-17420,Online,1,OSA,CAM,CAMG
625193,2024-01-22 21:34:18.730,PCTD-11136,Online,3,TOK,PCT,PCTD
625194,2024-01-23 00:40:19.749,SALC-82294,Tienda,2,OSA,SAL,SALC
625195,2024-01-23 02:08:21.162,EAGA-87908,Online,1,TOK,EAG,EAGA
625196,2024-01-23 03:25:20.385,HIND-90525,Tienda,1,OSA,HIN,HIND
625197,2024-01-23 14:41:48.043,EAGC-60397,Online,1,NAO,EAG,EAGC
625198,2024-01-23 23:13:27.275,TVSH-58041,Online,1,SEN,TVS,TVSH
625199,2024-01-24 05:06:28.017,TVSK-49778,Online,1,NAO,TVS,TVSK
625200,2024-01-24 09:38:23.091,TCLC-70860,Online,1,YOK,TCL,TCLC
625201,2024-01-24 15:06:08.096,VJGA-52049,Online,1,SAI,VJG,VJGA
625202,2024-01-25 01:18:12.433,TVSF-66259,Online,1,NAO,TVS,TVSF
625203,2024-01-25 07:18:49.445,CAMC-93921,Tienda,1,YOK,CAM,CAMC
625204,2024-01-25 07:32:24.379,PCTE-51280,Online,1,TOK,PCT,PCTE
625205,2024-01-25 19:29:47.420,SVSB-53445,Online,1,TOK,SVS,SVSB
625206,2024-01-25 20:39:10.085,TVSG-12052,Online,1,TOK,TVS,TVSG
625207,2024-01-25 20:52:51.125,ELEG-76662,Online,1,TOK,ELE,ELEG
625208,2024-01-25 22:58:12.231,PCTC-27031,Online,1,OSA,PCT,PCTC
625209,2024-01-26 05:47:40.015,EAGB-95303,Tienda,1,OSA,EAG,EAGB
625210,2024-01-26 06:36:16.805,HINC-71647,Online,1,OSA,HIN,HINC
625211,2024-01-26 13:23:52.565,JUGB-10505,Tienda,1,OSA,JUG,JUGB
625212,2024-01-26 16:37:08.988,GFTB-95623,Online,1,YOK,GFT,GFTB
625213,2024-01-27 02:10:02.683,TREB-15387,Online,1,TOK,TRE,TREB
625214,2024-01-27 05:29:51.652,SVSC-89352,Tienda,2,YOK,SVS,SVSC
625215,2024-01-27 06:00:55.405,TVSF-54905,Online,1,TOK,TVS,TVSF
625216,2024-01-27 14:03:18.077,TCLA-81111,Online,1,KYO,TCL,TCLA
625217,2024-01-27 22:45:39.826,PCTB-11336,Online,2,KYO,PCT,PCTB
625218,2024-01-28 02:21:58.428,JUGA-37600,Tienda,1,TOK,JUG,JUGA
625219,2024-01-28 03:06:40.368,EAGC-60397,Online,1,KOB,EAG,EAGC
625220,2024-01-28 12:44:57.528,CAMD-97282,Online,1,OSA,CAM,CAMD
625221,2024-01-29 00:28:03.450,SVSB-78752,Online,3,NAO,SVS,SVSB
625222,2024-01-29 02:20:25.992,HOGC-31342,Online,2,KAW,HOG,HOGC
625223,2024-01-29 12:54:57.384,VALC-77528,Online,1,TOK,VAL,VALC
625224,2024-01-29 23:23:22.644,SVSB-53445,Online,1,TOK,SVS,SVSB
625225,2024-01-30 02:43:56.176,SALB-86147,Online,1,TOK,SAL,SALB
625226,2024-01-30 02:49:59.367,GFTB-59305,Online,2,OSA,GFT,GFTB
625227,2024-01-30 12:58:24.191,TVSB-65396,Tienda,1,TOK,TVS,TVSB
625228,2024-01-30 19:08:05.223,TVSB-25580,Tienda,1,YOK,TVS,TVSB
625229,2024-01-31 05:34:46.205,HIND-59565,Online,1,YOK,HIN,HIND
625230,2024-01-31 08:15:41.348,PCTF-75629,Online,2,YOK,PCT,PCTF
625231,2024-01-31 18:37:00.050,SVSB-70583,Tienda,1,NAO,SVS,SVSB
625232,2024-02-01 02:38:58.257,EAGA-86383,Online,2,TOK,EAG,EAGA
625233,2024-02-01 13:49:32.932,ELEH-84061,Online,1,TOK,ELE,ELEH
625234,2024-02-01 16:42:36.486,EAGA-34753,Tienda,3,TOK,EAG,EAGA
625235,2024-02-02 01:07:09.342,JUGA-79838,Online,1,TOK,JUG,JUGA
625236,2024-02-02 01:13:09.648,PMUB-71172,Online,2,YOK,PMU,PMUB
625237,2024-02-02 08:34:37.485,TVSF-97496,Online,1,TOK,TVS,TVSF
625238,2024-02-02 10:11:16.618,VALC-16551,Online,1,OSA,VAL,VALC
625239,2024-02-02 15:38:46.677,TVSA-69059,Online,1,OSA,TVS,TVSA
625240,2024-02-02 21:03:33.090,TREC-29209,Online,1,NAO,TRE,TREC
625241,2024-02-03 08:51:18.322,GFTB-95623,Online,1,TOK,GFT,GFTB
625242,2024-02-03 15:39:45.176,HOGC-91549,Online,3,OSA,HOG,HOGC
625243,2024-02-04 00:53:56.274,AUDG-95382,Online,1,TOK,AUD,AUDG
625244,2024-02-04 07:23:42.179,TVSA-37154,Online,1,KOB,TVS,TVSA
625245,2024-02-04 09:14:58.429,ELEE-79787,Online,3,TOK,ELE,ELEE
625246,2024-02-04 10:50:55.875,HINC-94059,Online,1,TOK,HIN,HINC
625247,2024-02-04 21:36:08.126,CAMB-44180,Tienda,1,OSA,CAM,CAMB
625248,2024-02-04 22:23:02.935,PMUA-46620,Online,2,FUK,PMU,PMUA
625249,2024-02-05 09:01:53.814,VALA-62707,Online,1,KYO,VAL,VALA
625250,2024-02-05 12:35:57.960,VALA-45556,Online,2,OSA,VAL,VALA
625251,2024-02-05 20:30:09.853,TVSF-79386,Online,3,YOK,TVS,TVSF
625252,2024-02-06 08:07:51.902,PCTG-94398,Online,1,KYO,PCT,PCTG
625253,2024-02-06 10:06:03.108,AUDE-20785,Online,3,OSA,AUD,AUDE
625254,2024-02-06 10:11:48.062,PCTG-71022,Online,1,SAP,PCT,PCTG
625255,2024-02-06 14:48:20.309,SALB-55826,Tienda,1,TOK,SAL,SALB
625256,2024-02-06 19:36:13.426,VALD-85277,Online,1,TOK,VAL,VALD
625257,2024-02-06 20:08:29.240,PMUA-22761,Tienda,1,OSA,PMU,PMUA
625258,2024-02-07 04:23:46.295,ELEF-50722,Online,1,NAO,ELE,ELEF
625259,2024-02-07 05:52:42.161,VALA-62707,Online,1,TOK,VAL,VALA
625260,2024-02-07 16:16:48.767,TVSC-32293,Online,2,TOK,TVS,TVSC
625261,2024-02-07 23:59:46.658,ELEH-59218,Online,3,NAO,ELE,ELEH
625262,2024-02-08 06:43:51.273,SVSA-29587,Online,1,OSA,SVS,SVSA
625263,2024-02-08 08:31:50.355,SALB-74444,Online,1,OSA,SAL,SALB
625264,2024-02-08 10:47:28.882,TVSE-57605,Online,1,TOK,TVS,TVSE
625265,2024-02-08 16:15:42.032,ELEH-14712,Online,1,TOK,ELE,ELEH
625266,2024-02-09 01:48:11.132,SALC-25944,Online,1,TOK,SAL,SALC
625267,2024-02-09 11:18:00.566,HINA-51521,Online,1,TOK,HIN,HINA
625268,2024-02-09 17:45:24.796,PMUB-14449,Online,3,TOK,PMU,PMUB
625269,2024-02-10 00:29:17.369,SALA-98787,Online,1,TOK,SAL,SALA
625270,2024-02-10 12:21:44.607,JUGA-55990,Online,2,TOK,JUG,JUGA
625271,2024-02-10 21:33:18.454,HINB-61066,Online,1,KOB,HIN,HINB
625272,2024-02-11 05:08:00.690,VALB-66230,Online,1,TOK,VAL,VALB
625273,2024-02-11 10:47:31.230,SVSC-89352,Online,1,TOK,SVS,SVSC
625274,2024-02-11 10:50:49.338,TVSB-25580,Tienda,1,FUK,TVS,TVSB
625275,2024-02-11 20:41:17.621,HINB-52731,Online,3,KAW,HIN,HINB
625276,2024-02-12 06:08:22.097,EAGA-54137,Tienda,3,TOK,EAG,EAGA
625277,2024-02-12 06:29:23.210,TVSH-63112,Online,2,YOK,TVS,TVSH
625278,2024-02-12 15:14:06.620,VALC-89709,Online,2,TOK,VAL,VALC
625279,2024-02-12 20:34:09.624,CAMF-35067,Online,1,YOK,CAM,CAMF
625280,2024-02-13 01:44:58.480,AUDE-20785,Tienda,1,TOK,AUD,AUDE
625281,2024-02-13 11:21:35.184,TREC-94463,Tienda,1,TOK,TRE,TREC
625282,2024-02-13 19:05:26.494,TREA-12574,Online,1,OSA,TRE,TREA
625283,2024-02-14 02:21:32.985,SALD-20758,Online,2,NAO,SAL,SALD
625284,2024-02-14 13:15:27.741,ELEB-38372,Online,1,OSA,ELE,ELEB
625285,2024-02-14 17:01:10.594,SVSA-27487,Online,1,TOK,SVS,SVSA
625286,2024-02-15 01:22:11.217,JUGC-46673,Online,1,OSA,JUG,JUGC
625287,2024-02-15 11:38:23.795,HINB-61066,Online,1,TOK,HIN,HINB
625288,2024-02-15 20:09:57.713,PMUC-76592,Tienda,1,OSA,PMU,PMUC
625289,2024-02-16 00:44:40.223,TVSC-89610,Online,1,OSA,TVS,TVSC
625290,2024-02-16 12:17:41.329,PMUC-76592,Online,1,TOK,PMU,PMUC
625291,2024-02-16 15:39:21.353,ELEF-97191,Online,1,OSA,ELE,ELEF
625292,2024-02-17 00:24:53.483,VJGB-97374,Online,1,OKA,VJG,VJGB
625293,2024-02-17 01:23:38.038,ELEH-26937,Online,2,KAW,ELE,ELEH
625294,2024-02-17 09:20:43.786,PCTE-13396,Online,1,SAI,PCT,PCTE
625295,2024-02-17 19:36:54.315,SVSB-99945,Tienda,1,TOK,SVS,SVSB
625296,2024-02-17 21:31:58.793,PMUB-20564,Online,1,TOK,PMU,PMUB
625297,2024-02-18 08:12:43.293,HOGA-39194,Online,1,TOK,HOG,HOGA
625298,2024-02-18 17:50:57.013,JUGB-41177,Online,1,TOK,JUG,JUGB
625299,2024-02-18 21:09:03.947,DEPC-99296,Online,1,OKA,DEP,DEPC
625300,2024-02-19 01:19:10.801,HOGB-13551,Tienda,2,YOK,HOG,HOGB
625301,2024-02-19 01:35:09.574,CAMF-39184,Online,1,TOK,CAM,CAMF
625302,2024-02-19 12:06:30.237,TREB-88970,Online,1,TOK,TRE,TREB
625303,2024-02-19 13:37:21.107,AUDB-10684,Online,3,TOK,AUD,AUDB
625304,2024-02-19 19:23:59.353,AUDD-72622,Online,3,CHI,AUD,AUDD
625305,2024-02-19 20:44:39.489,EAGB-18443,Online,1,OSA,EAG,EAGB
625306,2024-02-19 21:32:30.172,AUDG-56768,Online,1,TOK,AUD,AUDG
625307,2024-02-19 22:51:19.170,EAGC-97682,Online,1,TOK,EAG,EAGC
625308,2024-02-20 00:06:26.274,CAME-43041,Tienda,1,NAO,CAM,CAME
625309,2024-02-20 06:45:11.150,TCLC-55666,Online,1,TOK,TCL,TCLC
625310,2024-02-20 12:16:10.648,AUDC-86094,Online,1,SAI,AUD,AUDC
625311,2024-02-20 20:02:24.445,DEPB-84576,Online,3,TOK,DEP,DEPB
625312,2024-02-21 05:56:51.431,CAMF-87569,Online,3,TOK,CAM,CAMF
625313,2024-02-21 16:51:31.978,TVSA-92623,Online,1,NAA,TVS,TVSA
625314,2024-02-21 23:10:43.775,TVSG-30035,Online,3,TOK,TVS,TVSG
625315,2024-02-22 07:43:46.413,EAGA-33983,Online,2,TOK,EAG,EAGA
625316,2024-02-22 09:27:36.271,GFTA-57004,Online,1,SAI,GFT,GFTA
625317,2024-02-22 12:30:15.740,TVSB-58406,Online,1,NAO,TVS,TVSB
625318,2024-02-22 23:51:31.044,VALA-45556,Online,1,NAA,VAL,VALA
625319,2024-02-23 01:21:39.663,VJGC-17993,Online,1,YOK,VJG,VJGC
625320,2024-02-23 03:29:42.617,ELEG-39425,Online,1,OSA,ELE,ELEG
625321,2024-02-23 09:01:15.476,AUDG-87751,Online,1,YOK,AUD,AUDG
625322,2024-02-23 09:48:49.528,PCTA-79303,Online,1,TOK,PCT,PCTA
625323,2024-02-23 14:16:37.851,CAMC-67490,Tienda,1,KYO,CAM,CAMC
625324,2024-02-23 15:26:05.868,CAME-43041,Online,1,TOK,CAM,CAME
625325,2024-02-24 01:49:36.234,SALA-83285,Online,1,SAP,SAL,SALA
625326,2024-02-24 02:38:11.222,TVSF-79386,Online,3,OSA,TVS,TVSF
625327,2024-02-24 12:49:49.560,TREC-68039,Online,1,YOK,TRE,TREC
625328,2024-02-24 20:16:27.707,TVSH-48777,Online,1,TOK,TVS,TVSH
625329,2024-02-24 20:55:19.029,TCLB-73973,Online,1,TOK,TCL,TCLB
625330,2024-02-25 06:07:55.058,SALD-86893,Online,1,SAP,SAL,SALD
625331,2024-02-25 14:37:24.210,TVSC-48100,Tienda,3,TOK,TVS,TVSC
625332,2024-02-25 18:52:57.873,CAMF-14763,Online,1,TOK,CAM,CAMF
625333,2024-02-26 05:41:05.118,TREC-60672,Online,1,YOK,TRE,TREC
625334,2024-02-26 05:46:46.864,EAGC-58193,Online,1,TOK,EAG,EAGC
625335,2024-02-26 15:44:19.835,JUGC-55410,Tienda,3,TOK,JUG,JUGC
625336,2024-02-27 00:01:30.551,PCTF-23943,Online,1,TOK,PCT,PCTF
625337,2024-02-27 04:38:24.622,PCTD-66156,Online,1,TOK,PCT,PCTD
625338,2024-02-27 12:56:38.089,TVSC-48439,Online,3,YOK,TVS,TVSC
625339,2024-02-27 16:55:27.036,ELEA-50206,Online,1,HIR,ELE,ELEA
625340,2024-02-28 00:57:38.779,AUDC-60349,Online,1,TOK,AUD,AUDC
625341,2024-02-28 04:23:02.746,PCTD-90095,Online,1,NAO,PCT,PCTD
625342,2024-02-28 11:21:06.581,PCTE-38007,Online,1,OSA,PCT,PCTE
625343,2024-02-28 20:53:26.836,CAMG-19965,Online,3,TOK,CAM,CAMG
625344,2024-02-29 01:58:19.943,HINA-51521,Online,1,NAO,HIN,HINA
625345,2024-02-29 11:15:40.298,PCTA-15104,Online,1,TOK,PCT,PCTA
625346,2024-02-29 19:47:54.526,VJGA-97433,Online,1,TOK,VJG,VJGA
625347,2024-03-01 02:49:13.037,PMUC-64474,Online,1,NAA,PMU,PMUC
625348,2024-03-01 14:47:54.718,CAMG-10217,Online,3,HIR,CAM,CAMG
625349,2024-03-01 19:12:51.974,SALB-55826,Tienda,1,YOK,SAL,SALB
625350,2024-03-01 21:31:41.018,PMUE-52590,Online,1,TOK,PMU,PMUE
625351,2024-03-02 06:04:29.117,CAMG-19700,Online,1,OSA,CAM,CAMG
625352,2024-03-02 11:32:33.581,AUDA-69994,Online,3,OSA,AUD,AUDA
625353,2024-03-02 17:28:07.301,SVSB-78752,Online,1,CHI,SVS,SVSB
625354,2024-03-02 18:43:33.258,DEPC-21455,Online,1,KAW,DEP,DEPC
625355,2024-03-03 00:10:14.971,VALC-29478,Online,1,NAO,VAL,VALC
625356,2024-03-03 12:02:10.805,AUDF-40301,Online,1,TOK,AUD,AUDF
625357,2024-03-03 15:34:13.414,TVSF-54905,Tienda,1,TOK,TVS,TVSF
625358,2024-03-03 16:55:16.209,SALB-74311,Online,1,OSA,SAL,SALB
625359,2024-03-04 02:02:39.906,PCTG-24967,Online,1,TOK,PCT,PCTG
625360,2024-03-04 03:10:11.405,AUDG-66570,Tienda,1,TOK,AUD,AUDG
625361,2024-03-04 05:57:26.843,SALC-61416,Online,1,TOK,SAL,SALC
625362,2024-03-04 13:08:47.114,CAMG-36891,Online,3,YOK,CAM,CAMG
625363,2024-03-04 20:06:04.752,SALA-16568,Online,1,KYO,SAL,SALA
625364,2024-03-05 01:40:02.793,PMUA-18768,Online,1,TOK,PMU,PMUA
625365,2024-03-05 09:33:37.704,GFTB-92933,Tienda,3,KOB,GFT,GFTB
625366,2024-03-05 12:27:47.983,PCTB-10627,Online,1,OSA,PCT,PCTB
625367,2024-03-05 16:41:46.065,VALD-69172,Online,2,NAO,VAL,VALD
625368,2024-03-05 23:12:55.813,PMUC-64474,Online,1,TOK,PMU,PMUC
625369,2024-03-06 04:28:31.622,PCTB-79309,Tienda,1,OSA,PCT,PCTB
625370,2024-03-06 10:19:49.010,PCTE-88935,Online,1,YOK,PCT,PCTE
625371,2024-03-06 20:41:33.449,DEPB-29285,Online,1,TOK,DEP,DEPB
625372,2024-03-07 05:33:46.691,SALA-29719,Online,3,OSA,SAL,SALA
625373,2024-03-07 13:51:36.266,AUDG-52341,Online,1,YOK,AUD,AUDG
625374,2024-03-07 18:19:29.614,SVSB-99945,Online,1,TOK,SVS,SVSB
625375,2024-03-08 01:02:55.821,HOGC-59300,Tienda,1,TOK,HOG,HOGC
625376,2024-03-08 04:13:02.554,CAMB-76266,Online,1,OSA,CAM,CAMB
625377,2024-03-08 07:21:38.148,SALA-13420,Online,1,TOK,SAL,SALA
625378,2024-03-08 10:45:17.745,TVSG-17566,Online,1,TOK,TVS,TVSG
625379,2024-03-08 13:40:00.404,SVSA-29587,Online,1,NAO,SVS,SVSA
625380,2024-03-08 22:02:27.540,TVSG-48830,Online,1,TOK,TVS,TVSG
625381,2024-03-09 09:58:36.687,PMUD-76670,Online,1,OSA,PMU,PMUD
625382,2024-03-09 20:03:51.593,PMUE-62157,Online,1,TOK,PMU,PMUE
625383,2024-03-09 22:59:16.333,JUGB-41177,Online,3,OSA,JUG,JUGB
625384,2024-03-10 02:04:24.112,EAGA-77205,Tienda,1,OSA,EAG,EAGA
625385,2024-03-10 11:21:25.705,ELEF-50722,Online,2,OSA,ELE,ELEF
625386,2024-03-10 23:15:09.291,DEPC-75065,Online,1,OSA,DEP,DEPC
625387,2024-03-11 05:12:34.397,JUGA-11070,Online,1,TOK,JUG,JUGA
625388,2024-03-11 15:58:11.989,EAGA-50329,Online,1,OSA,EAG,EAGA
625389,2024-03-11 23:27:29.109,SVSA-29587,Online,1,TOK,SVS,SVSA
625390,2024-03-12 02:31:53.790,VJGA-52049,Online,1,OSA,VJG,VJGA
625391,2024-03-12 05:33:08.576,PMUC-48740,Online,2,OSA,PMU,PMUC
625392,2024-03-12 11:10:50.710,PCTA-28013,Online,1,YOK,PCT,PCTA
625393,2024-03-12 21:38:11.110,SALC-64898,Tienda,2,TOK,SAL,SALC
625394,2024-03-12 22:34:44.614,ELEE-20550,Online,3,NAO,ELE,ELEE
625395,2024-03-13 08:33:46.127,TCLB-73973,Online,2,TOK,TCL,TCLB
625396,2024-03-13 18:10:37.433,TVSG-12052,Online,1,NAO,TVS,TVSG
625397,2024-03-14 01:53:19.873,TCLA-36993,Online,1,YOK,TCL,TCLA
625398,2024-03-14 13:36:32.572,ELEF-82487,Online,1,YOK,ELE,ELEF
625399,2024-03-14 21:00:15.089,ELEB-19207,Online,1,TOK,ELE,ELEB
625400,2024-03-14 22:32:58.110,PMUF-96262,Online,1,NAO,PMU,PMUF
625401,2024-03-15 02:03:20.238,HOGC-59300,Online,1,TOK,HOG,HOGC
625402,2024-03-15 13:53:17.482,PCTB-15419,Online,1,TOK,PCT,PCTB
625403,2024-03-15 18:04:52.494,DEPC-75065,Online,1,TOK,DEP,DEPC
625404,2024-03-16 02:01:02.040,PMUA-22761,Online,1,SAP,PMU,PMUA
625405,2024-03-16 10:26:54.628,TCLC-70860,Tienda,3,SAI,TCL,TCLC
625406,2024-03-16 19:54:53.920,TVSG-17566,Tienda,1,TOK,TVS,TVSG
625407,2024-03-17 04:24:31.554,EAGC-73517,Online,1,TOK,EAG,EAGC
625408,2024-03-17 05:10:14.533,JUGA-11747,Online,1,NAO,JUG,JUGA
625409,2024-03-17 11:13:02.959,PCTG-55933,Tienda,1,TOK,PCT,PCTG
625410,2024-03-17 15:21:48.312,TREC-33239,Online,1,TOK,TRE,TREC
625411,2024-03-17 23:09:52.630,PMUC-85322,Online,1,OSA,PMU,PMUC
625412,2024-03-18 00:56:17.578,VALB-75862,Tienda,3,TOK,VAL,VALB
625413,2024-03-18 07:41:16.406,TVSK-49778,Online,1,TOK,TVS,TVSK
625414,2024-03-18 17:28:22.912,PCTC-51525,Online,2,NAO,PCT,PCTC
625415,2024-03-19 03:30:35.838,VALD-85277,Online,1,OSA,VAL,VALD
625416,2024-03-19 10:42:19.821,HIND-23105,Online,2,TOK,HIN,HIND
625417,2024-03-19 15:14:01.950,ELEE-71242,Online,1,YOK,ELE,ELEE
625418,2024-03-19 23:40:37.774,CAMB-51587,Online,1,KAW,CAM,CAMB
625419,2024-03-20 10:07:08.685,HINC-62430,Online,1,OKA,HIN,HINC
625420,2024-03-20 19:44:49.914,ELEG-97121,Tienda,1,NAO,ELE,ELEG
625421,2024-03-21 05:52:20.016,TREA-15691,Online,1,TOK,TRE,TREA
625422,2024-03-21 05:58:34.290,HINC-62430,Online,1,OSA,HIN,HINC
625423,2024-03-21 15:48:54.450,CAMG-32626,Online,1,OKA,CAM,CAMG
625424,2024-03-21 16:12:20.901,VJGA-52049,Tienda,1,TOK,VJG,VJGA
625425,2024-03-21 21:40:14.931,CAMB-10246,Online,1,TOK,CAM,CAMB
625426,2024-03-22 08:45:43.595,HINC-99639,Online,1,OSA,HIN,HINC
625427,2024-03-22 19:18:14.492,PMUA-18768,Online,1,TOK,PMU,PMUA
