Transaccion Num,Fecha y Hora,Cod Prod,Tipo Venta,Cantidad,Ciudad,Categoría,Subcategoría,origen
626606,2025-01-11 06:38:24.643,PMUF-26187,Online,3,NAO,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626607,2025-01-11 12:59:19.792,EAGA-87908,Online,1,SEN,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626608,2025-01-11 16:40:05.121,DEPB-31559,Online,1,TOK,DEP,DEPB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626609,2025-01-11 20:45:59.770,CAMB-73801,Online,1,OSA,CAM,CAMB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626610,2025-01-12 03:48:28.352,TREA-44920,Online,1,OSA,TRE,TREA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626611,2025-01-12 11:33:52.721,ELEC-75599,Online,1,YOK,ELE,ELEC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626612,2025-01-12 16:45:14.192,CAMB-91772,Online,1,OSA,CAM,CAMB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626613,2025-01-13 00:51:06.815,PMUB-59474,Online,1,TOK,PMU,PMUB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626614,2025-01-13 09:33:44.175,SALC-64898,Online,1,YOK,SAL,SALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626615,2025-01-13 12:07:56.556,SALB-74444,Online,1,KAW,SAL,SALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626616,2025-01-13 21:28:11.486,TVSH-63112,Online,2,OSA,TVS,TVSH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626617,2025-01-14 03:47:07.474,SALD-31997,Online,3,YOK,SAL,SALD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626618,2025-01-14 11:21:19.994,SALD-86893,Online,1,OKA,SAL,SALD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626619,2025-01-14 11:23:53.760,TREC-66159,Online,1,NAO,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626620,2025-01-14 20:50:07.016,VALB-17575,Online,1,TOK,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626621,2025-01-14 21:10:43.428,TVSA-81183,Online,3,TOK,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626622,2025-01-15 04:10:55.104,PMUF-90686,Online,1,NAO,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626623,2025-01-15 05:16:35.937,PMUD-13214,Online,1,TOK,PMU,PMUD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626624,2025-01-15 10:32:24.653,AUDC-38249,Online,1,NAO,AUD,AUDC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626625,2025-01-15 13:31:06.741,AUDA-83559,Online,1,TOK,AUD,AUDA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626626,2025-01-15 19:55:22.611,TVSF-68361,Online,1,SEN,TVS,TVSF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626627,2025-01-15 21:55:22.514,PCTB-10627,Online,1,TOK,PCT,PCTB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626628,2025-01-16 05:18:54.659,TVSA-47994,Online,1,SAI,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626629,2025-01-16 15:30:56.722,TVSA-94757,Online,1,OSA,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626630,2025-01-16 19:57:41.623,SVSB-30110,Online,2,TOK,SVS,SVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626631,2025-01-17 07:40:44.131,TVSE-38644,Online,3,TOK,TVS,TVSE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626632,2025-01-17 14:21:26.228,HOGC-31342,Online,1,FUK,HOG,HOGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626633,2025-01-17 22:18:04.980,CAMD-15276,Online,1,TOK,CAM,CAMD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626634,2025-01-18 04:28:12.771,GFTB-12530,Online,1,OSA,GFT,GFTB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626635,2025-01-18 11:46:31.623,PCTE-38007,Online,1,TOK,PCT,PCTE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626636,2025-01-18 22:06:34.073,ELEC-75599,Online,1,TOK,ELE,ELEC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626637,2025-01-19 05:18:36.584,PMUA-42938,Online,1,YOK,PMU,PMUA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626638,2025-01-19 11:36:31.868,ELEB-19207,Tienda,1,OSA,ELE,ELEB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626639,2025-01-19 21:48:24.007,VALB-85023,Online,1,TOK,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626640,2025-01-20 06:45:09.186,PMUE-65102,Tienda,1,KAW,PMU,PMUE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626641,2025-01-20 14:05:20.756,ELEA-46113,Online,3,TOK,ELE,ELEA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626642,2025-01-20 19:04:24.756,PMUF-90686,Online,2,NAO,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626643,2025-01-21 03:34:42.750,PCTG-55933,Tienda,1,TOK,PCT,PCTG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626644,2025-01-21 13:43:41.247,HOGC-38780,Online,2,SAI,HOG,HOGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626645,2025-01-21 20:03:23.460,AUDG-75395,Online,1,OSA,AUD,AUDG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626646,2025-01-21 23:43:13.268,TREC-33239,Online,1,TOK,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626647,2025-01-22 03:40:08.876,AUDG-66570,Online,1,OSA,AUD,AUDG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626648,2025-01-22 04:09:40.337,TVSH-64984,Tienda,1,YOK,TVS,TVSH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626649,2025-01-22 09:49:18.113,HINB-59918,Online,3,YOK,HIN,HINB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626650,2025-01-22 12:19:49.826,SALC-74981,Online,1,YOK,SAL,SALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626651,2025-01-22 15:54:46.374,TREC-94463,Online,1,TOK,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626652,2025-01-22 19:03:06.663,TREA-19376,Online,3,KYO,TRE,TREA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626653,2025-01-23 00:38:23.558,AUDD-93430,Online,1,NAO,AUD,AUDD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626654,2025-01-23 03:59:18.388,GFTB-31427,Online,1,OSA,GFT,GFTB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626655,2025-01-23 08:29:54.272,TREC-38459,Online,1,TOK,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626656,2025-01-23 11:52:18.835,HOGC-66643,Tienda,1,TOK,HOG,HOGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626657,2025-01-23 15:47:42.584,TCLB-73973,Online,1,TOK,TCL,TCLB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626658,2025-01-24 00:05:18.555,ELEF-97191,Online,1,NAA,ELE,ELEF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626659,2025-01-24 02:41:43.141,TVSF-97412,Online,1,TOK,TVS,TVSF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626660,2025-01-24 13:13:25.882,EAGA-51758,Online,2,NAO,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626661,2025-01-24 20:27:25.006,ELEA-50206,Online,1,TOK,ELE,ELEA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626662,2025-01-25 04:15:45.750,VJGA-77269,Online,1,TOK,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626663,2025-01-25 13:10:59.704,PMUB-53988,Online,1,TOK,PMU,PMUB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626664,2025-01-25 15:13:02.853,VALC-92225,Online,1,TOK,VAL,VALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626665,2025-01-25 19:22:02.553,HIND-90525,Online,1,OKA,HIN,HIND,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626666,2025-01-25 21:31:17.829,TVSC-15871,Online,1,TOK,TVS,TVSC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626667,2025-01-26 04:16:08.862,TVSC-48100,Online,1,SEN,TVS,TVSC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626668,2025-01-26 09:43:01.890,HIND-23105,Online,1,SAI,HIN,HIND,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626669,2025-01-26 12:05:59.439,JUGC-88258,Online,3,TOK,JUG,JUGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626670,2025-01-26 16:10:36.579,ELEH-84269,Online,1,OSA,ELE,ELEH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626671,2025-01-26 19:32:22.274,JUGA-76388,Online,1,TOK,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626672,2025-01-26 20:51:57.085,TVSK-49778,Tienda,2,SAI,TVS,TVSK,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626673,2025-01-27 02:53:03.916,HINC-62430,Online,3,OSA,HIN,HINC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626674,2025-01-27 04:01:54.998,SVSB-65802,Online,1,TOK,SVS,SVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626675,2025-01-27 10:47:05.989,HOGB-92802,Online,1,TOK,HOG,HOGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626676,2025-01-27 22:36:17.697,VALB-60728,Online,3,OSA,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626677,2025-01-27 23:57:42.313,EAGC-20117,Online,1,NAO,EAG,EAGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626678,2025-01-28 02:17:56.371,VALC-77528,Online,2,NAO,VAL,VALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626679,2025-01-28 09:28:54.218,TVSE-57605,Tienda,1,TOK,TVS,TVSE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626680,2025-01-28 11:29:18.149,AUDB-10684,Online,3,TOK,AUD,AUDB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626681,2025-01-28 12:10:13.780,JUGA-11747,Online,1,OSA,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626682,2025-01-28 15:07:00.439,SALA-29719,Online,1,TOK,SAL,SALA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626683,2025-01-29 00:57:41.402,VALC-77528,Online,3,TOK,VAL,VALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626684,2025-01-29 09:31:52.190,ELEA-95730,Online,1,YOK,ELE,ELEA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626685,2025-01-29 17:00:54.663,ELEB-38060,Online,1,KYO,ELE,ELEB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626686,2025-01-29 23:35:09.625,VJGA-88176,Online,2,OKA,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626687,2025-01-30 00:24:39.454,AUDC-86094,Online,1,TOK,AUD,AUDC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626688,2025-01-30 03:40:59.767,PCTA-79303,Online,1,TOK,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626689,2025-01-30 08:12:55.086,EAGA-50329,Online,1,TOK,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626690,2025-01-30 08:52:34.886,CAMG-19965,Online,2,OSA,CAM,CAMG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626691,2025-01-30 11:44:03.877,JUGB-41177,Online,1,TOK,JUG,JUGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626692,2025-01-30 20:22:19.316,TVSK-52573,Online,1,NAO,TVS,TVSK,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626693,2025-01-31 07:36:41.358,CAME-43041,Online,1,OSA,CAM,CAME,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626694,2025-01-31 08:17:50.184,EAGB-35294,Online,2,YOK,EAG,EAGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626695,2025-01-31 14:02:00.109,DEPC-75065,Tienda,3,TOK,DEP,DEPC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626696,2025-01-31 22:54:17.702,CAMB-92521,Online,1,OSA,CAM,CAMB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626697,2025-02-01 00:52:47.326,HINC-50077,Online,3,OSA,HIN,HINC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626698,2025-02-01 02:09:42.063,SVSB-20819,Online,1,CHI,SVS,SVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626699,2025-02-01 12:20:09.005,TVSA-81183,Online,3,KOB,TVS,TVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626700,2025-02-02 00:03:50.118,PCTA-87890,Online,1,OSA,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626701,2025-02-02 04:01:23.686,SVSB-65802,Tienda,1,TOK,SVS,SVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626702,2025-02-02 06:50:11.546,VALB-35187,Online,1,SAI,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626703,2025-02-02 07:03:41.882,TREC-29209,Online,1,OSA,TRE,TREC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626704,2025-02-02 08:00:38.504,GFTB-31427,Tienda,1,SAP,GFT,GFTB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626705,2025-02-02 15:18:22.664,PCTD-90095,Online,1,TOK,PCT,PCTD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626706,2025-02-02 16:42:03.533,VALB-75862,Online,1,NAO,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626707,2025-02-03 04:40:33.431,VALB-75862,Online,3,NAO,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626708,2025-02-03 16:25:30.365,TCLB-73973,Online,1,OSA,TCL,TCLB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626709,2025-02-04 03:28:15.334,EAGA-85159,Online,1,TOK,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626710,2025-02-04 05:20:09.874,PMUF-20641,Online,1,NAO,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626711,2025-02-04 06:43:34.291,AUDE-67553,Online,1,YOK,AUD,AUDE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626712,2025-02-04 15:46:55.505,TVSE-31733,Online,1,TOK,TVS,TVSE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626713,2025-02-04 16:33:44.341,DEPC-21455,Online,1,TOK,DEP,DEPC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626714,2025-02-04 23:35:20.499,TREB-61270,Online,1,TOK,TRE,TREB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626715,2025-02-05 00:19:09.503,VALB-60728,Online,1,KYO,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626716,2025-02-05 09:06:59.269,SALB-74311,Tienda,1,TOK,SAL,SALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626717,2025-02-05 20:49:55.097,CAMC-26079,Online,1,TOK,CAM,CAMC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626718,2025-02-06 01:41:48.565,SALA-70348,Online,1,KYO,SAL,SALA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626719,2025-02-06 06:27:53.152,VALB-76040,Online,1,TOK,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626720,2025-02-06 09:36:16.188,DEPC-99296,Online,1,OKA,DEP,DEPC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626721,2025-02-06 13:07:04.490,TVSB-75678,Tienda,1,TOK,TVS,TVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626722,2025-02-07 00:36:01.273,GFTA-18366,Online,1,TOK,GFT,GFTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626723,2025-02-07 05:06:06.693,TREA-84298,Online,3,TOK,TRE,TREA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626724,2025-02-07 05:06:34.066,ELEC-63932,Online,1,SAI,ELE,ELEC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626725,2025-02-07 11:09:26.998,PCTA-27622,Online,1,TOK,PCT,PCTA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626726,2025-02-07 11:41:49.170,HINC-77535,Online,1,TOK,HIN,HINC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626727,2025-02-07 12:15:28.875,JUGA-48800,Online,1,SAI,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626728,2025-02-07 13:04:10.191,PMUB-61340,Online,1,TOK,PMU,PMUB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626729,2025-02-07 22:03:14.382,PMUC-48740,Online,3,OSA,PMU,PMUC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626730,2025-02-08 03:58:35.770,VJGA-77269,Tienda,1,OSA,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626731,2025-02-08 14:57:45.857,CAMB-10246,Tienda,1,OSA,CAM,CAMB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626732,2025-02-09 00:24:54.489,PMUC-95197,Online,1,SEN,PMU,PMUC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626733,2025-02-09 11:39:13.105,PCTG-96305,Online,1,KYO,PCT,PCTG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626734,2025-02-09 14:51:03.886,PMUB-20564,Online,1,KYO,PMU,PMUB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626735,2025-02-09 18:26:45.084,TREA-22580,Online,1,SAI,TRE,TREA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626736,2025-02-09 21:41:20.631,PMUD-39558,Online,1,TOK,PMU,PMUD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626737,2025-02-10 00:36:41.196,PMUC-93197,Online,1,TOK,PMU,PMUC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626738,2025-02-10 01:01:57.364,TVSF-52972,Online,1,TOK,TVS,TVSF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626739,2025-02-10 09:23:53.407,ELEH-26937,Online,1,KYO,ELE,ELEH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626740,2025-02-10 09:32:37.650,VALB-17575,Online,3,NAO,VAL,VALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626741,2025-02-10 10:46:22.971,HOGC-31283,Online,3,TOK,HOG,HOGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626742,2025-02-10 13:14:40.232,PMUB-43343,Online,3,TOK,PMU,PMUB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
